studyID	enter	check	reference	journal	year	family	genus	epithet	species	where	studytype	SC	matingsystem	tm_species_Moeller	tm_pop	outcrossing_best	matingsystem_certain	pollinator_group	pollinator	mating_system_evidence	population	lat	lon	environment	morph	traitgroup1	traitgroup2	traitgroup3	traitX	traitY	scale	dimension	method	h2type	nfam	n	h2	mean	Vp	CVa	isCor	corA	Va	evolvability	e_on_log	Ie	notes			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	floral	flowersize	corolla	corolla_lobe_length	corolla_lobe_length	ratio	linear	NA	phenotypic	NA	70	NA	20.9621	3.186	NA	0	NA	3.186	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	floral	flowersize	corolla	corolla_lobe_width	corolla_lobe_width	ratio	linear	NA	phenotypic	NA	70	NA	5.5579	0.502	NA	0	NA	0.502	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	floral	fit	tube_length	corolla_tube_length	corolla_tube_length	ratio	linear	NA	phenotypic	NA	70	NA	20.8135	1.371	NA	0	NA	1.371	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	floral	fit	tube_width	corolla_tube_width	corolla_tube_width	ratio	linear	NA	phenotypic	NA	70	NA	2.5786	0.054	NA	0	NA	0.054	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	floral	fit	female	stigma_nectary_distance	stigma_nectary_distance	ratio	linear	NA	phenotypic	NA	70	NA	37.431	3.778	NA	0	NA	3.778	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	floral	fit	female	stigma_exsertion	stigma_exsertion	ratio	linear	NA	phenotypic	NA	70	NA	16.6289	1.907	NA	0	NA	1.907	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	floral	display	flower_number	flower_number	flower_number	ratio	count	NA	phenotypic	NA	70	NA	21.7571	145.085	NA	0	NA	145.085	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_lobe_length	corolla_lobe_width	NA	NA	NA	phenotypic	NA	70	NA	NA	0.91	NA	0	NA	0.91	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_lobe_length	corolla_tube_length	NA	NA	NA	phenotypic	NA	70	NA	NA	0.931	NA	0	NA	0.931	NA	NA	NA	NA			
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_lobe_length	corolla_tube_width	NA	NA	NA	phenotypic	NA	70	NA	NA	0.133	NA	0	NA	0.133	NA	NA	NA	NA			
